Pixel Count,Kernel Size,Clusters,Threads,Time
25672152,3,8,8,0.063150
25672152,3,8,8,0.060043
25672152,3,8,8,0.059561
25672152,3,8,8,0.059814
25672152,3,8,8,0.063829
25672152,5,8,8,0.120545
25672152,5,8,8,0.109276
64000000,3,8,8,0.143621
64000000,3,8,8,0.142565
64000000,3,8,8,0.151861
64000000,3,8,8,0.135194
64000000,3,8,8,0.134641
64000000,5,8,8,0.260653
64000000,5,8,8,0.263813
211680000,3,8,8,0.794963
211680000,3,8,8,0.459842
211680000,3,8,8,0.453461
211680000,3,8,8,0.434415
211680000,3,8,8,0.444517
211680000,5,8,8,0.962692
211680000,5,8,8,0.823815
25672152,3,8,8,0.064619
25672152,3,8,8,0.064578
25672152,3,8,8,0.062084
25672152,3,8,8,0.060763
25672152,3,8,8,0.062229
25672152,5,8,8,0.118232
25672152,5,8,8,0.119566
64000000,3,8,8,0.143558
64000000,3,8,8,0.153898
64000000,3,8,8,0.138558
64000000,3,8,8,0.137521
64000000,3,8,8,0.137091
64000000,5,8,8,0.264538
64000000,5,8,8,0.269152
211680000,3,8,8,0.935244
211680000,3,8,8,0.476426
211680000,3,8,8,0.446207
211680000,3,8,8,0.437227
211680000,3,8,8,0.451908
211680000,5,8,8,1.003630
211680000,5,8,8,0.853292
25672152,3,4,1,0.101656
25672152,3,4,1,0.097668
25672152,3,4,1,0.092746
25672152,3,4,1,0.092369
25672152,3,4,1,0.092791
25672152,5,4,1,0.202924
25672152,5,4,1,0.196619
64000000,3,4,1,0.240973
64000000,3,4,1,0.229533
64000000,3,4,1,0.227432
64000000,3,4,1,0.228119
64000000,3,4,1,0.228872
64000000,5,4,1,0.490144
64000000,5,4,1,0.490639
211680000,3,4,1,1.511943
211680000,3,4,1,0.834802
211680000,3,4,1,0.825050
211680000,3,4,1,0.777576
211680000,3,4,1,0.777151
211680000,5,4,1,1.705588
211680000,5,4,1,1.746258
